C,c1,c2,Time,R,EXP,c1,
,2.5,0,94.5,9.457564429,7,5,13
,2.5,0,94.5,8.794662743,7,5,13
,2.5,0,120,15.94972956,7,5,13
,2.5,0,120,15.9210945,7,5,13
,2.5,0,120,15.95402482,7,5,13
,2.5,15,0,0.994436927,6,0,14
,2.5,15,0,0.982421254,7,5,14
,2.5,15,23.5,1.874705558,6,5,14
,2.5,15,23.5,1.642560016,6,5,14
,2.5,15,23.5,1.844634892,6,5,14
,2.5,15,26,2.173759147,7,5,14
,2.5,15,26,1.861636971,7,5,14
,2.5,15,26,2.020561565,7,5,14
,2.5,15,47.5,3.050969779,6,5,14
,2.5,15,47.5,3.182077883,6,5,14
,2.5,15,47.5,2.917456022,6,5,14
,2.5,15,53.5,3.381204263,7,5,14
,2.5,15,53.5,3.122056952,7,5,14
,2.5,15,53.5,3.419861597,7,5,14
,2.5,15,71,4.358342104,6,5,14
,2.5,15,71,4.73602967,6,5,14
,2.5,15,71,4.440134316,6,5,14
,2.5,15,94.5,8.310730194,7,5,14
,2.5,15,94.5,8.66437321,7,5,14
,2.5,15,94.5,7.88406777,7,5,14
,2.5,15,120,12.39325485,7,5,14
,2.5,15,120,13.39118676,7,5,14
,2.5,15,120,13.60738148,7,5,14
,2.5,50,0,0.999248233,6,0,15
,2.5,50,0,0.98528476,7,5,15
,2.5,50,23.5,1.807347266,6,5,15
,2.5,50,23.5,1.656993936,6,5,15
,2.5,50,23.5,1.551145191,6,5,15
,2.5,50,26,1.903157811,7,5,15
,2.5,50,26,2.046333121,7,5,15
,2.5,50,26,1.958996182,7,5,15
,2.5,50,47.5,2.704555706,6,5,15
,2.5,50,47.5,3.100285671,6,5,15
,2.5,50,47.5,3.278304014,6,5,15
,2.5,50,53.5,3.000357938,7,5,15
,2.5,50,53.5,3.230870188,7,5,15
,2.5,50,53.5,2.935929049,7,5,15
,2.5,50,71,4.157470055,6,5,15
,2.5,50,71,4.431714529,6,5,15
,2.5,50,71,4.168295494,6,5,15
,2.5,50,94,5.911291535,6,5,15
,2.5,50,94,6.196361449,6,5,15
,2.5,50,94,6.064050519,6,5,15
,2.5,50,94.5,6.455178174,7,5,15
,2.5,50,94.5,5.988426662,7,5,15
,2.5,50,94.5,6.532492841,7,5,15
,2.5,50,120,11.23210309,7,5,15
,2.5,50,120,11.55997455,7,5,15
,2.5,50,120,11.03595291,7,5,15
,2.5,150,0,0.872951436,6,0,16
,2.5,150,0,1.016783328,7,5,16
,2.5,150,23.5,1.682253295,6,5,16
,2.5,150,23.5,1.884328171,6,5,16
,2.5,150,23.5,1.661805242,6,5,16
,2.5,150,26,2.074968183,7,5,16
,2.5,150,26,1.893135539,7,5,16
,2.5,150,26,1.900294305,7,5,16
,2.5,150,47.5,2.957149301,6,5,16
,2.5,150,47.5,2.65644264,6,5,16
,2.5,150,47.5,2.762291385,6,5,16
,2.5,150,53.5,3.266664015,7,5,16
,2.5,150,53.5,3.266664015,7,5,16
,2.5,150,53.5,3.142101495,7,5,16
,2.5,150,71,4.087706109,6,5,16
,2.5,150,71,3.464641908,6,5,16
,2.5,150,71,3.842329474,6,5,16
,2.5,150,94.5,6.074331849,7,5,16
,2.5,150,94.5,6.007039453,7,5,16
,2.5,150,94.5,6.274777283,7,5,16
,2.5,150,120,8.819599109,7,5,16
,2.5,150,120,9.357938276,7,5,16
,2.5,150,120,6.684855234,7,5,16
,2.5,300,26,1.70414413,7,5,17
,2.5,300,26,1.834433662,7,5,17
,2.5,300,26,1.738506204,7,5,17
,2.5,300,53.5,2.702553293,7,5,17
,2.5,300,53.5,3.024697741,7,5,17
,2.5,300,53.5,2.768413936,7,5,17
,2.5,300,94.5,4.485085905,7,5,17
,2.5,300,94.5,5.803730512,7,5,17
,2.5,300,94.5,5.165168629,7,5,17
,2.5,300,120,8.908367801,7,5,17
,2.5,300,120,8.045020681,7,5,17
,2.5,300,120,7.349188673,7,5,17
,7.5,0,0,0.917456022,6,0,18
,7.5,0,0,1.0268056,7,15,18
,7.5,0,23.5,1.536711271,6,15,18
,7.5,0,23.5,1.580013031,6,15,18
,7.5,0,23.5,1.478975593,6,15,18
,7.5,0,26,2.0134028,7,15,18
,7.5,0,26,1.897430799,7,15,18
,7.5,0,26,1.947542157,7,15,18
,7.5,0,53.5,2.94595132,7,15,18
,7.5,0,53.5,3.037583519,7,15,18
,7.5,0,53.5,3.216552657,7,15,18
,7.5,0,94.5,6.876113586,7,15,18
,7.5,0,94.5,6.946269488,7,15,18
,7.5,0,94.5,7.63494273,7,15,18
,7.5,0,120,11.01161311,7,15,18
,7.5,0,120,12.61947184,7,15,18
,7.5,0,120,11.57572383,7,15,18
,7.5,15,0,1.097880018,6,0,19
,7.5,15,0,0.925151129,7,15,19
,7.5,15,23.5,1.511451912,6,15,19
,7.5,15,23.5,1.535508445,6,15,19
,7.5,15,23.5,1.913196011,6,15,19
,7.5,15,26,2.09644448,7,15,19
,7.5,15,26,2.208121222,7,15,19
,7.5,15,26,2.052060134,7,15,19
,7.5,15,47.5,2.350924673,6,15,19
,7.5,15,47.5,2.527740189,6,15,19
,7.5,15,47.5,2.575853255,6,15,19
,7.5,15,53.5,3.040447025,7,15,19
,7.5,15,53.5,3.122056952,7,15,19
,7.5,15,53.5,3.039015272,7,15,19
,7.5,15,71,3.701598757,6,15,19
,7.5,15,71,3.295043352,6,15,19
,7.5,15,71,3.187991781,6,15,19
,7.5,15,94,4.125093971,6,15,19
,7.5,15,94,4.239362502,6,15,19
,7.5,15,94,4.181626823,6,15,19
,7.5,15,94.5,5.868159402,7,15,19
,7.5,15,94.5,5.938315304,7,15,19
,7.5,15,94.5,6.765868597,7,15,19
,7.5,15,120,8.736557429,7,15,19
,7.5,15,120,9.435252943,7,15,19
,7.5,15,120,8.325644289,7,15,19
,7.5,50,0,0.953540821,6,0,20
,7.5,50,0,1.025373847,7,15,20
,7.5,50,23.5,1.557159324,6,15,20
,7.5,50,23.5,1.795319,6,15,20
,7.5,50,23.5,1.536711271,6,15,20
,7.5,50,26,1.927497614,7,15,20
,7.5,50,26,1.938951639,7,15,20
,7.5,50,26,1.801503341,7,15,20
,7.5,50,53.5,2.466314031,7,15,20
,7.5,50,53.5,2.818525294,7,15,20
,7.5,50,53.5,2.507834871,7,15,20
,7.5,50,94.5,4.406339485,7,15,20
,7.5,50,94.5,4.245983137,7,15,20
,7.5,50,94.5,3.913816417,7,15,20
,7.5,50,120,5.684059815,7,15,20
,7.5,50,120,7.131562202,7,15,20
,7.5,50,120,6.488705059,7,15,20
,7.5,150,0,0.934295595,6,0,21
,7.5,150,0,1.029669106,7,15,21
,7.5,150,23.5,1.60888087,6,15,21
,7.5,150,23.5,1.489801032,6,15,21
,7.5,150,23.5,1.292537463,6,15,21
,7.5,150,26,1.771436526,7,15,21
,7.5,150,26,1.898862552,7,15,21
,7.5,150,26,1.759982501,7,15,21
,7.5,150,47.5,2.462787551,6,15,21
,7.5,150,47.5,2.372575553,6,15,21
,7.5,150,47.5,2.399037739,6,15,21
,7.5,150,53.5,2.910157493,7,15,21
,7.5,150,53.5,2.762686923,7,15,21
,7.5,150,53.5,2.934497296,7,15,21
,7.5,150,71,2.807898562,6,15,21
,7.5,150,71,2.73332331,6,15,21
,7.5,150,71,2.773016589,6,15,21
,7.5,150,94,2.439933845,6,15,21
,7.5,150,94,2.625169147,6,15,21
,7.5,150,94,3.162832657,6,15,21
,7.5,150,94.5,3.608853007,7,15,21
,7.5,150,94.5,4.611080178,7,15,21
,7.5,150,94.5,4.576718104,7,15,21
,7.5,150,120,4.72621699,7,15,21
,7.5,150,120,3.599427299,7,15,21
,7.5,150,120,5.101336303,7,15,21
,7.5,300,0,1.089802736,7,15,22
,7.5,300,26,1.603921413,7,15,22
,7.5,300,26,1.751391982,7,15,22
,7.5,300,26,1.774300032,7,15,22
,7.5,300,53.5,2.683940503,7,15,22
,7.5,300,53.5,2.399021635,7,15,22
,7.5,300,53.5,2.390431117,7,15,22
,7.5,300,94.5,3.365454979,7,15,22
,7.5,300,94.5,3.684735921,7,15,22
,7.5,300,94.5,3.106307668,7,15,22
,7.5,300,120,2.890709513,7,15,22
,7.5,300,120,2.020203627,7,15,22
,7.5,300,120,5.20155902,7,15,22
,10,0,0,0.918158709,9,10,23
,10,0,0,0.924790009,9,10,23
,10,0,29,1.650088417,9,10,23
,10,0,29,1.484305924,9,10,23
,10,0,29,1.628536693,9,10,23
,10,0,47,2.324270557,9,10,23
,10,0,47,2.562997347,9,10,23
,10,0,47,2.480106101,9,10,23
,10,0,103,3.305702918,9,10,23
,10,0,103,3.355437666,9,10,23
,10,0,103,3.148209549,9,10,23
,10,30,0,0.931421309,9,10,24
,10,30,0,0.989445181,9,10,24
,10,30,29,1.476016799,9,10,24
,10,30,29,1.479332449,9,10,24
,10,30,29,1.336759505,9,10,24
,10,30,47,1.815318302,9,10,24
,10,30,47,1.826923077,9,10,24
,10,30,47,1.768899204,9,10,24
,10,30,103,1.453912467,9,10,24
,10,30,103,1.286472149,9,10,24
,10,30,103,1.540119363,9,10,24
,10,100,0,1.322667993,9,10,25
,10,100,29,1.373231653,9,10,25
,10,100,29,1.174292661,9,10,25
,10,100,29,1.21408046,9,10,25
,10,100,47,1.36770557,9,10,25
,10,100,47,1.316312997,9,10,25
,10,100,47,1.254973475,9,10,25
,10,100,103,0.983090186,9,10,25
,10,100,103,0.837201592,9,10,25
,10,100,103,0.809018568,9,10,25
,10,300,0,0.987787356,9,10,26
,10,300,29,1.252210433,9,10,26
,10,300,29,0.990274094,9,10,26
,10,300,29,1.144451813,9,10,26
,10,300,47,1.274867374,9,10,26
,10,300,47,1.203580902,9,10,26
,10,300,47,1.178713528,9,10,26
,10,300,103,0.455901857,9,10,26
,10,300,103,0.643236074,9,10,26
